2-level
homogeneous many small
&& size_30000/random_tree_1 196896.243546 36300174
&& size_30000/random_tree_2 109176.960815 37113466
&& size_30000/random_tree_3 203795.508807 35930735
&& size_30000/random_tree_4 129143.059557 36556308
&& size_30000/random_tree_5 97190.663065 37497923
&& size_4000/random_tree_1 35820.957915 614604
&& size_4000/random_tree_10 56946.694880 650683
&& size_4000/random_tree_2 39253.977903 611031
&& size_4000/random_tree_3 29872.796063 598482
&& size_4000/random_tree_4 36055.733348 628462
&& size_4000/random_tree_5 24876.850139 618807
&& size_4000/random_tree_6 38540.257499 643727
&& size_4000/random_tree_7 26049.166236 635866
&& size_4000/random_tree_8 32666.612288 624635
&& size_4000/random_tree_9 35163.355124 589884
&& size_50000/random_tree_1 156706.919637 108893271
&& size_50000/random_tree_2 128682.015479 109390885
&& size_50000/random_tree_3 489191.979028 107422611
&& size_50000/random_tree_4 399893.654806 114560976
&& size_50000/random_tree_5 183566.668287 108876328
&& size_50000/random_tree_5 183566.668287 108998214
few big
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 8793.493491 352807
&& size_10000/random_tree_2 7461.146289 179430
&& size_10000/random_tree_3 3729.284179 161021
&& size_15000/random_tree_1 10675.169516 297859
&& size_15000/random_tree_2 6473.467800 318405
&& size_15000/random_tree_3 10288.777571 235916
&& size_20000/random_tree_1 6465.677304 462336
&& size_20000/random_tree_2 10747.451561 465986
&& size_20000/random_tree_3 5759.350717 470052
&& size_25000/random_tree_1 7234.523105 795251
&& size_25000/random_tree_2 6377.126541 716422
&& size_25000/random_tree_3 12635.091727 609947
&& size_5000/random_tree_1 7178.899456 53056
&& size_5000/random_tree_2 5013.587893 78351
&& size_5000/random_tree_3 7190.519630 122151
&& size_5000/random_tree_3 7190.519630 122158
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 109241.398295 562499
&& size_10000/random_tree_10 148929.622310 710466
&& size_10000/random_tree_2 176172.567310 612938
&& size_10000/random_tree_3 152060.762656 604215
&& size_10000/random_tree_4 173662.319851 640270
&& size_10000/random_tree_5 126450.891243 696589
&& size_10000/random_tree_6 149671.292144 558928
&& size_10000/random_tree_7 192334.778178 610852
&& size_10000/random_tree_8 171556.003046 640332
&& size_10000/random_tree_9 176871.793294 580679
&& size_2000/random_tree_1 109398.918629 42994
&& size_2000/random_tree_10 66703.549667 28275
&& size_2000/random_tree_2 73388.274387 30466
&& size_2000/random_tree_3 100990.524660 37100
&& size_2000/random_tree_4 105088.893685 110886
&& size_2000/random_tree_5 49810.946035 31681
&& size_2000/random_tree_6 102219.871446 25121
&& size_2000/random_tree_7 104111.139211 35573
&& size_2000/random_tree_8 71805.420872 34009
&& size_2000/random_tree_9 101127.002025 80584
&& size_20000/random_tree_1 202834.456770 2077137
&& size_20000/random_tree_2 220534.692154 2256289
&& size_20000/random_tree_3 302713.362801 2620147
&& size_20000/random_tree_4 176763.176141 2401851
&& size_20000/random_tree_5 211263.662308 2266294
&& size_30000/random_tree_1 385890.682720 5240167
&& size_30000/random_tree_2 303963.430243 4835504
&& size_30000/random_tree_3 349513.062859 5307959
&& size_30000/random_tree_4 296754.842992 4873819
&& size_30000/random_tree_5 316042.971409 5754428
&& size_4000/random_tree_1 133735.278358 104813
&& size_4000/random_tree_10 120969.824060 96395
&& size_4000/random_tree_2 75999.452859 106879
&& size_4000/random_tree_3 110659.074570 115771
&& size_4000/random_tree_4 93448.899128 103796
&& size_4000/random_tree_5 75807.376887 110886
&& size_4000/random_tree_6 127904.430180 112548
&& size_4000/random_tree_7 106512.180055 98946
&& size_4000/random_tree_8 125843.912623 105881
&& size_4000/random_tree_9 102539.226102 123972
&& size_50000/random_tree_1 460566.016055 14723042
&& size_50000/random_tree_2 565904.381574 14089477
&& size_50000/random_tree_3 422765.568799 14861116
&& size_50000/random_tree_4 425311.025149 15142694
&& size_50000/random_tree_5 563063.726107 14077064
&& size_50000/random_tree_5 563063.726107 14064992
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 33332.999684 334791
&& size_10000/random_tree_10 51015.191898 414932
&& size_10000/random_tree_2 52404.826281 271588
&& size_10000/random_tree_3 47216.256699 1103856
&& size_10000/random_tree_4 21401.721654 599489
&& size_10000/random_tree_5 19841.858736 1387943
&& size_10000/random_tree_6 15742.423375 2175813
&& size_10000/random_tree_7 48322.883854 272359
&& size_10000/random_tree_8 43560.317900 1184557
&& size_10000/random_tree_9 49949.063116 861510
&& size_2000/random_tree_1 33211.271928 33680
&& size_2000/random_tree_10 15520.711752 25763
&& size_2000/random_tree_2 31165.197722 33644
&& size_2000/random_tree_3 45343.357622 35470
&& size_2000/random_tree_4 26909.628824 60734
&& size_2000/random_tree_5 33141.060449 57400
&& size_2000/random_tree_6 34092.952041 74169
&& size_2000/random_tree_7 46978.566464 15445
&& size_2000/random_tree_8 27297.722652 23869
&& size_2000/random_tree_9 32401.321527 37253
&& size_20000/random_tree_1 45616.494060 4317717
&& size_20000/random_tree_2 50651.718847 2443134
&& size_20000/random_tree_3 22105.661348 5579535
&& size_20000/random_tree_4 36957.226963 1430911
&& size_20000/random_tree_5 24421.283284 7331320
&& size_30000/random_tree_1 59459.215234 5245139
&& size_30000/random_tree_2 63699.212632 17370500
&& size_30000/random_tree_3 39573.806589 3580351
&& size_30000/random_tree_4 29095.792088 4583625
&& size_30000/random_tree_5 42102.083078 13996915
&& size_4000/random_tree_1 21109.826776 44377
&& size_4000/random_tree_10 42927.987822 113432
&& size_4000/random_tree_2 44617.859956 95757
&& size_4000/random_tree_3 43577.828840 115490
&& size_4000/random_tree_4 36459.937301 72629
&& size_4000/random_tree_5 31290.648993 158201
&& size_4000/random_tree_6 36805.573232 197061
&& size_4000/random_tree_7 22116.092757 255222
&& size_4000/random_tree_8 27145.256567 200720
&& size_4000/random_tree_9 19351.745565 92560
&& size_50000/random_tree_1 50461.484453 13189397
&& size_50000/random_tree_2 47054.384082 40638900
&& size_50000/random_tree_3 61152.855231 14322098
&& size_50000/random_tree_4 71073.352653 10311619
&& size_50000/random_tree_5 27367.745697 2249998
&& size_50000/random_tree_5 27367.745697 2251583
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 8650.175052 291106
&& size_10000/random_tree_2 5044.717279 147990
&& size_10000/random_tree_3 8312.221120 353879
&& size_15000/random_tree_1 6247.134565 400204
&& size_15000/random_tree_2 6681.988272 324439
&& size_15000/random_tree_3 4773.565289 349291
&& size_20000/random_tree_1 11249.032195 528959
&& size_20000/random_tree_2 12450.476380 666177
&& size_20000/random_tree_3 13109.689457 449677
&& size_25000/random_tree_1 5573.034325 973291
&& size_25000/random_tree_2 11742.457642 875311
&& size_25000/random_tree_3 6067.056286 879973
&& size_5000/random_tree_1 5582.392243 54102
&& size_5000/random_tree_2 6672.672804 77923
&& size_5000/random_tree_3 3883.430171 79851
&& size_5000/random_tree_3 3883.430171 79853
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 565.238822 192919
&& size_10000/random_tree_10 465.221163 215596
&& size_10000/random_tree_2 619.189820 183181
&& size_10000/random_tree_3 478.402962 218447
&& size_10000/random_tree_4 755.838136 200995
&& size_10000/random_tree_5 951.960065 578172
&& size_10000/random_tree_6 432.270777 368123
&& size_10000/random_tree_7 837.352334 666553
&& size_10000/random_tree_8 391.547911 257247
&& size_10000/random_tree_9 785.274534 334274
&& size_2000/random_tree_1 365.289356 40796
&& size_2000/random_tree_10 471.618491 37063
&& size_2000/random_tree_2 405.625408 33932
&& size_2000/random_tree_3 518.059676 19502
&& size_2000/random_tree_4 216.332816 27924
&& size_2000/random_tree_5 468.064994 12720
&& size_2000/random_tree_6 411.132619 44942
&& size_2000/random_tree_7 578.157237 22193
&& size_2000/random_tree_8 551.843726 18251
&& size_2000/random_tree_9 289.033465 42900
&& size_20000/random_tree_1 746.319184 514145
&& size_20000/random_tree_2 884.184300 892676
&& size_20000/random_tree_3 832.705055 682871
&& size_20000/random_tree_4 1106.673802 718840
&& size_20000/random_tree_5 657.216204 535978
&& size_30000/random_tree_1 1066.662463 1268381
&& size_30000/random_tree_2 1520.473791 1513613
&& size_30000/random_tree_3 1047.233441 1211469
&& size_30000/random_tree_4 1377.318697 1541961
&& size_30000/random_tree_5 1199.691494 1455001
&& size_4000/random_tree_1 388.316612 181704
&& size_4000/random_tree_10 596.024084 47515
&& size_4000/random_tree_2 461.171340 75281
&& size_4000/random_tree_3 650.310661 176007
&& size_4000/random_tree_4 681.699277 59626
&& size_4000/random_tree_5 640.941586 139628
&& size_4000/random_tree_6 615.008596 170217
&& size_4000/random_tree_7 456.804497 43331
&& size_4000/random_tree_8 283.268361 50444
&& size_4000/random_tree_9 524.856602 66391
&& size_50000/random_tree_1 1356.458566 4157894
&& size_50000/random_tree_2 1388.040375 3132012
&& size_50000/random_tree_3 1469.587103 3477305
&& size_50000/random_tree_4 1507.219091 6419947
&& size_50000/random_tree_5 949.970275 3493622
&& size_50000/random_tree_5 949.970275 3495720
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 9501.659333 515123
&& size_10000/random_tree_10 9145.170261 169073
&& size_10000/random_tree_2 5187.763044 227987
&& size_10000/random_tree_3 6272.898590 249419
&& size_10000/random_tree_4 7520.713364 206861
&& size_10000/random_tree_5 9481.582969 331426
&& size_10000/random_tree_6 9497.909865 1269167
&& size_10000/random_tree_7 6788.854246 361044
&& size_10000/random_tree_8 6232.351564 174612
&& size_10000/random_tree_9 8721.106556 357309
&& size_2000/random_tree_1 5620.140335 46898
&& size_2000/random_tree_10 2442.924941 61328
&& size_2000/random_tree_2 3921.083731 116906
&& size_2000/random_tree_3 2018.824017 34050
&& size_2000/random_tree_4 2993.911446 37816
&& size_2000/random_tree_5 2600.433989 65858
&& size_2000/random_tree_6 4698.679381 29952
&& size_2000/random_tree_7 2060.926194 108321
&& size_2000/random_tree_8 3423.944706 39125
&& size_2000/random_tree_9 5804.890914 15827
&& size_20000/random_tree_1 11452.547171 796364
&& size_20000/random_tree_2 6968.303332 690940
&& size_20000/random_tree_3 11122.945917 658198
&& size_20000/random_tree_4 13073.156141 810764
&& size_20000/random_tree_5 9664.515616 627155
&& size_30000/random_tree_1 7065.341951 1526862
&& size_30000/random_tree_2 5896.178322 1998892
&& size_30000/random_tree_3 10696.651784 1888409
&& size_30000/random_tree_4 11699.510692 1805271
&& size_30000/random_tree_5 13504.342291 1250088
&& size_4000/random_tree_1 5940.017374 123853
&& size_4000/random_tree_10 4342.477913 107452
&& size_4000/random_tree_2 4496.114340 317244
&& size_4000/random_tree_3 4773.200890 98117
&& size_4000/random_tree_4 4347.968474 326155
&& size_4000/random_tree_5 5451.737515 124112
&& size_4000/random_tree_6 4561.594314 238552
&& size_4000/random_tree_7 3451.578881 81796
&& size_4000/random_tree_8 6715.504885 61188
&& size_4000/random_tree_9 4520.027349 81065
&& size_50000/random_tree_1 15885.041805 3423145
&& size_50000/random_tree_2 12441.754635 3269090
&& size_50000/random_tree_3 11796.821627 4238768
&& size_50000/random_tree_4 14231.479359 4049047
&& size_50000/random_tree_5 9613.222076 4442765
&& size_50000/random_tree_5 9613.222076 4456892
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 3297.616982 203085
&& size_10000/random_tree_2 6342.121336 218335
&& size_10000/random_tree_3 5287.236498 197268
&& size_15/random_tree_1 2245.123210 52
&& size_15000/random_tree_1 9062.707868 337718
&& size_15000/random_tree_2 9481.598119 294145
&& size_15000/random_tree_3 8741.675468 439415
&& size_20/random_tree_1 4253.203671 66
&& size_20000/random_tree_1 6655.467049 642940
&& size_20000/random_tree_2 5489.872342 488221
&& size_20000/random_tree_3 5795.025117 570908
&& size_25000/random_tree_1 11087.692911 994466
&& size_25000/random_tree_2 7362.754247 1129674
&& size_25000/random_tree_3 6236.073121 836758
&& size_5000/random_tree_1 5412.573943 90546
&& size_5000/random_tree_2 6914.888733 89474
&& size_5000/random_tree_3 4297.346526 175233
&& size_5000/random_tree_3 4297.346526 175202
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 93635.432748 3941591
&& size_10000/random_tree_10 61894.575860 3710718
&& size_10000/random_tree_2 123166.452259 3908726
&& size_10000/random_tree_3 87718.480585 3957848
&& size_10000/random_tree_4 107303.637080 3897766
&& size_10000/random_tree_5 95282.350729 3743816
&& size_10000/random_tree_6 81261.925113 3857574
&& size_10000/random_tree_7 67723.465518 3775687
&& size_10000/random_tree_8 79780.130574 3712674
&& size_10000/random_tree_9 109928.968340 3906741
&& size_2000/random_tree_1 20531.599384 165287
&& size_2000/random_tree_10 20134.360994 149099
&& size_2000/random_tree_2 20445.386107 147435
&& size_2000/random_tree_3 17263.650620 157504
&& size_2000/random_tree_4 19419.018924 154191
&& size_2000/random_tree_5 26924.029156 162757
&& size_2000/random_tree_6 23144.040031 158926
&& size_2000/random_tree_7 19043.889821 148330
&& size_2000/random_tree_8 20686.201887 146965
&& size_2000/random_tree_9 27192.966278 160782
&& size_20000/random_tree_1 215905.463275 15485814
&& size_20000/random_tree_2 146558.294978 15609581
&& size_20000/random_tree_3 207906.259992 16044147
&& size_20000/random_tree_4 215664.774679 15607002
&& size_20000/random_tree_5 135102.624223 15355593
&& size_30000/random_tree_1 263842.123039 37055983
&& size_30000/random_tree_2 183658.781941 36461684
&& size_30000/random_tree_3 224673.813119 36342202
&& size_30000/random_tree_4 241949.781598 36690884
&& size_30000/random_tree_5 263825.749130 37055402
&& size_4000/random_tree_1 43951.953287 613194
&& size_4000/random_tree_10 70346.583177 653297
&& size_4000/random_tree_2 48180.652178 612531
&& size_4000/random_tree_3 34569.447092 574512
&& size_4000/random_tree_4 42016.437617 630934
&& size_4000/random_tree_5 41269.185649 598876
&& size_4000/random_tree_6 44748.841948 609033
&& size_4000/random_tree_7 30951.327130 612714
&& size_4000/random_tree_8 37544.563803 613170
&& size_4000/random_tree_9 40547.626989 605668
&& size_50000/random_tree_1 289382.561034 103627653
&& size_50000/random_tree_2 568445.999909 105580214
&& size_50000/random_tree_3 554769.543578 106662434
&& size_50000/random_tree_4 505405.728168 109578072
&& size_50000/random_tree_5 471997.377445 108080672
&& size_50000/random_tree_5 471997.377445 108333002
3-level
heterogeneous
/work/kulagins/tree-scheduler/real_Trees/random_trees
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 8793.493491 352821
&& size_10000/random_tree_2 12010.541734 325824
&& size_10000/random_tree_3 3439.209182 157953
&& size_15000/random_tree_1 18486.593764 642693
&& size_15000/random_tree_2 6189.836883 325241
&& size_15000/random_tree_3 18105.309653 502846
&& size_20000/random_tree_1 9561.692479 828535
&& size_20000/random_tree_2 16356.201945 1285182
&& size_20000/random_tree_3 11635.687670 854168
&& size_25000/random_tree_1 7663.315604 1972579
&& size_25000/random_tree_2 11362.251464 1256682
&& size_25000/random_tree_3 21238.921189 1043498
&& size_5000/random_tree_1 7178.899456 53016
&& size_5000/random_tree_2 5013.587893 78347
&& size_5000/random_tree_3 7190.519630 122056
&& size_5000/random_tree_3 7190.519630 122153
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 101690.747507 535458
&& size_10000/random_tree_10 129944.723733 674981
&& size_10000/random_tree_2 159501.260946 614437
&& size_10000/random_tree_3 139022.854149 593614
&& size_10000/random_tree_4 157259.791022 633002
&& size_10000/random_tree_5 115149.331572 694446
&& size_10000/random_tree_6 124336.287877 529737
&& size_10000/random_tree_7 165841.647260 592580
&& size_10000/random_tree_8 153742.393617 613398
&& size_10000/random_tree_9 159110.701777 577226
&& size_2000/random_tree_1 109398.918629 42809
&& size_2000/random_tree_10 62898.651275 27045
&& size_2000/random_tree_2 70128.747163 29825
&& size_2000/random_tree_3 97943.068849 29858
&& size_2000/random_tree_4 102187.803382 27966
&& size_2000/random_tree_5 47287.710782 31843
&& size_2000/random_tree_6 100515.594472 24688
&& size_2000/random_tree_7 104111.139211 35405
&& size_2000/random_tree_8 69036.439333 34433
&& size_2000/random_tree_9 98630.701177 28698
&& size_20000/random_tree_1 179619.450678 2080338
&& size_20000/random_tree_2 193128.621245 2248739
&& size_20000/random_tree_3 241050.726046 2431157
&& size_20000/random_tree_4 155983.968986 2332683
&& size_20000/random_tree_5 180885.606233 2210577
&& size_30000/random_tree_1 332049.627876 5194358
&& size_30000/random_tree_2 268254.708669 4762348
&& size_30000/random_tree_3 303173.277037 5303351
&& size_30000/random_tree_4 238656.326091 4721765
&& size_30000/random_tree_5 290313.321511 5752264
&& size_4000/random_tree_1 125651.613085 104269
&& size_4000/random_tree_10 117325.081200 95030
&& size_4000/random_tree_2 71532.950602 104595
&& size_4000/random_tree_3 100958.618402 115815
&& size_4000/random_tree_4 88627.675326 101091
&& size_4000/random_tree_5 66042.301793 108023
&& size_4000/random_tree_6 122992.408725 115048
&& size_4000/random_tree_7 102573.730156 96814
&& size_4000/random_tree_8 120411.571945 105351
&& size_4000/random_tree_9 98122.463488 129034
&& size_50000/random_tree_1 345513.968673 14529455
&& size_50000/random_tree_2 480333.637330 14124032
&& size_50000/random_tree_3 316296.774393 14591485
&& size_50000/random_tree_4 367624.543138 14462844
&& size_50000/random_tree_5 490315.529045 14054753
&& size_50000/random_tree_5 490315.529045 14107888
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 33332.999684 335074
&& size_10000/random_tree_10 51015.191898 415277
&& size_10000/random_tree_2 52404.826281 271582
&& size_10000/random_tree_3 47216.256699 1105012
&& size_10000/random_tree_4 21401.721654 600208
&& size_10000/random_tree_5 19841.858736 1390191
&& size_10000/random_tree_6 15742.423375 2175690
&& size_10000/random_tree_7 48322.883854 271933
&& size_10000/random_tree_8 43560.317900 1184953
&& size_10000/random_tree_9 49949.063116 862869
&& size_2000/random_tree_1 33211.271928 33698
&& size_2000/random_tree_10 15520.711752 25600
&& size_2000/random_tree_2 31165.197722 33598
&& size_2000/random_tree_3 45343.357622 35488
&& size_2000/random_tree_4 26909.628824 60733
&& size_2000/random_tree_5 33141.060449 57334
&& size_2000/random_tree_6 34092.952041 74248
&& size_2000/random_tree_7 46978.566464 15393
&& size_2000/random_tree_8 27297.722652 23821
&& size_2000/random_tree_9 32401.321527 37220
&& size_20000/random_tree_1 45616.494060 4324426
&& size_20000/random_tree_2 50651.718847 2438440
&& size_20000/random_tree_3 22105.661348 5583746
&& size_20000/random_tree_4 36957.226963 1426846
&& size_20000/random_tree_5 24421.283284 7328634
&& size_30000/random_tree_1 59459.215234 5243176
&& size_30000/random_tree_2 63699.212632 17402428
&& size_30000/random_tree_3 39573.806589 3572425
&& size_30000/random_tree_4 29095.792088 4568930
&& size_30000/random_tree_5 42102.083078 14054142
&& size_4000/random_tree_1 21109.826776 44218
&& size_4000/random_tree_10 42927.987822 113564
&& size_4000/random_tree_2 44617.859956 96496
&& size_4000/random_tree_3 43577.828840 115750
&& size_4000/random_tree_4 36459.937301 72573
&& size_4000/random_tree_5 31290.648993 159145
&& size_4000/random_tree_6 36805.573232 197091
&& size_4000/random_tree_7 22116.092757 255911
&& size_4000/random_tree_8 27145.256567 200869
&& size_4000/random_tree_9 19351.745565 93430
&& size_50000/random_tree_1 50461.484453 13190609
&& size_50000/random_tree_2 47054.384082 40601471
&& size_50000/random_tree_3 61152.855231 14393201
&& size_50000/random_tree_4 71073.352653 10390384
&& size_50000/random_tree_5 26151.754867 1983104
&& size_50000/random_tree_5 26151.754867 1977213
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 8650.175052 290857
&& size_10000/random_tree_2 4739.142335 146301
&& size_10000/random_tree_3 8312.221120 353791
&& size_15000/random_tree_1 5907.498489 367782
&& size_15000/random_tree_2 6332.616574 318142
&& size_15000/random_tree_3 4583.003652 302897
&& size_20000/random_tree_1 10847.896716 521175
&& size_20000/random_tree_2 12094.859017 654436
&& size_20000/random_tree_3 12295.758053 447649
&& size_25000/random_tree_1 5052.187122 973118
&& size_25000/random_tree_2 17927.031396 2113505
&& size_25000/random_tree_3 5225.437465 877169
&& size_5000/random_tree_1 5582.392243 54075
&& size_5000/random_tree_2 6672.672804 77799
&& size_5000/random_tree_3 3838.085817 46980
&& size_5000/random_tree_3 3838.085817 46954
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 548.756368 195138
&& size_10000/random_tree_10 437.009173 204645
&& size_10000/random_tree_2 582.903701 191758
&& size_10000/random_tree_3 451.318159 213197
&& size_10000/random_tree_4 721.833985 185488
&& size_10000/random_tree_5 951.960065 578254
&& size_10000/random_tree_6 411.676250 219630
&& size_10000/random_tree_7 833.913247 160583
&& size_10000/random_tree_8 377.791907 233270
&& size_10000/random_tree_9 774.904871 177270
&& size_2000/random_tree_1 365.289356 40734
&& size_2000/random_tree_10 471.618491 37036
&& size_2000/random_tree_2 405.625408 33783
&& size_2000/random_tree_3 518.059676 19387
&& size_2000/random_tree_4 216.332816 27869
&& size_2000/random_tree_5 468.064994 12634
&& size_2000/random_tree_6 411.132619 44784
&& size_2000/random_tree_7 578.157237 22120
&& size_2000/random_tree_8 551.843726 18183
&& size_2000/random_tree_9 289.033465 42829
&& size_20000/random_tree_1 723.227488 512214
&& size_20000/random_tree_2 795.785895 727288
&& size_20000/random_tree_3 788.645009 613042
&& size_20000/random_tree_4 1072.559057 713475
&& size_20000/random_tree_5 585.006359 520789
&& size_30000/random_tree_1 1004.618102 1158462
&& size_30000/random_tree_2 1403.200244 1353784
&& size_30000/random_tree_3 955.446226 1140026
&& size_30000/random_tree_4 1315.087037 1531078
&& size_30000/random_tree_5 1144.838929 1332649
&& size_4000/random_tree_1 388.316612 181386
&& size_4000/random_tree_10 596.024084 46799
&& size_4000/random_tree_2 461.171340 74957
&& size_4000/random_tree_3 650.310661 175781
&& size_4000/random_tree_4 681.699277 59310
&& size_4000/random_tree_5 640.941586 139309
&& size_4000/random_tree_6 615.008596 169977
&& size_4000/random_tree_7 456.804497 42942
&& size_4000/random_tree_8 276.462416 49288
&& size_4000/random_tree_9 524.856602 65471
&& size_50000/random_tree_1 1247.641865 3297979
&& size_50000/random_tree_2 1231.454235 2779472
&& size_50000/random_tree_3 1314.081489 3233596
&& size_50000/random_tree_4 1377.299855 3290103
&& size_50000/random_tree_5 867.206547 3400237
&& size_50000/random_tree_5 867.206547 3405873
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 9501.659333 515818
&& size_10000/random_tree_10 9145.170261 168616
&& size_10000/random_tree_2 4867.454811 227399
&& size_10000/random_tree_3 6113.535952 204700
&& size_10000/random_tree_4 7315.672612 202517
&& size_10000/random_tree_5 9481.582969 331198
&& size_10000/random_tree_6 9497.909865 1271221
&& size_10000/random_tree_7 6569.871646 253317
&& size_10000/random_tree_8 5929.752462 176847
&& size_10000/random_tree_9 8721.106556 357206
&& size_2000/random_tree_1 5620.140335 46908
&& size_2000/random_tree_10 2442.924941 61305
&& size_2000/random_tree_2 3921.083731 117109
&& size_2000/random_tree_3 2018.824017 34012
&& size_2000/random_tree_4 2993.911446 37777
&& size_2000/random_tree_5 2600.433989 65785
&& size_2000/random_tree_6 4698.679381 29950
&& size_2000/random_tree_7 2060.926194 108203
&& size_2000/random_tree_8 3423.944706 39253
&& size_2000/random_tree_9 5804.890914 15871
&& size_20000/random_tree_1 11060.296200 802954
&& size_20000/random_tree_2 6608.737083 687091
&& size_20000/random_tree_3 10904.006843 738404
&& size_20000/random_tree_4 12402.172908 816815
&& size_20000/random_tree_5 9159.721351 569869
&& size_30000/random_tree_1 6424.497261 1574580
&& size_30000/random_tree_2 5262.682808 2003269
&& size_30000/random_tree_3 10150.928947 1707187
&& size_30000/random_tree_4 10926.733392 1630042
&& size_30000/random_tree_5 12808.115182 1255148
&& size_4000/random_tree_1 5940.017374 124266
&& size_4000/random_tree_10 4342.477913 108087
&& size_4000/random_tree_2 4496.114340 317551
&& size_4000/random_tree_3 4773.200890 98969
&& size_4000/random_tree_4 4347.968474 326765
&& size_4000/random_tree_5 5451.737515 124579
&& size_4000/random_tree_6 4561.594314 240622
&& size_4000/random_tree_7 3451.578881 82601
&& size_4000/random_tree_8 6715.504885 62227
&& size_4000/random_tree_9 4520.027349 82337
&& size_50000/random_tree_1 15104.031053 3146472
&& size_50000/random_tree_2 11318.281311 3213407
&& size_50000/random_tree_3 10392.250493 3863357
&& size_50000/random_tree_4 12896.866177 3889790
&& size_50000/random_tree_5 8791.367572 4235766
&& size_50000/random_tree_5 8791.367572 4221223
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 5349.016500 331594
&& size_10000/random_tree_2 17445.893587 222306
&& size_10000/random_tree_3 14578.009711 411691
&& size_15/random_tree_1 2245.123210 52
&& size_15000/random_tree_1 17952.855099 486687
&& size_15000/random_tree_2 20743.612565 432837
&& size_15000/random_tree_3 29129.905292 639474
&& size_20/random_tree_1 4253.203671 68
&& size_20000/random_tree_1 22974.713227 725201
&& size_20000/random_tree_2 16575.620674 780634
&& size_20000/random_tree_3 21531.663823 1023571
&& size_25000/random_tree_1 40864.791509 2229154
&& size_25000/random_tree_2 24050.568194 1660258
&& size_25000/random_tree_3 28019.209701 1444168
&& size_5000/random_tree_1 5412.573943 91084
&& size_5000/random_tree_2 6914.888733 90341
&& size_5000/random_tree_3 4297.346526 175813
&& size_5000/random_tree_3 4297.346526 175804
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 79461.669732 3949835
&& size_10000/random_tree_10 52727.001199 3708025
&& size_10000/random_tree_2 100956.662615 3885032
&& size_10000/random_tree_3 78449.846845 3884988
&& size_10000/random_tree_4 88617.438158 3907876
&& size_10000/random_tree_5 79227.544513 3733946
&& size_10000/random_tree_6 68979.397737 3833335
&& size_10000/random_tree_7 55955.420831 3774446
&& size_10000/random_tree_8 67498.194020 3716952
&& size_10000/random_tree_9 93151.943560 3866840
&& size_2000/random_tree_1 18031.567080 162000
&& size_2000/random_tree_10 16841.662930 148738
&& size_2000/random_tree_2 16172.684381 147090
&& size_2000/random_tree_3 16165.084921 156896
&& size_2000/random_tree_4 17725.206795 153960
&& size_2000/random_tree_5 22280.157139 162373
&& size_2000/random_tree_6 20038.022009 158569
&& size_2000/random_tree_7 16836.715470 149279
&& size_2000/random_tree_8 17031.161641 147533
&& size_2000/random_tree_9 23150.139244 160563
&& size_20000/random_tree_1 175685.775135 15459434
&& size_20000/random_tree_2 123923.793936 15595860
&& size_20000/random_tree_3 163002.724383 15982001
&& size_20000/random_tree_4 159809.700534 15576822
&& size_20000/random_tree_5 110119.337491 15318393
&& size_30000/random_tree_1 196896.243546 36425726
&& size_30000/random_tree_2 147966.880365 36201218
&& size_30000/random_tree_3 203795.508807 36150555
&& size_30000/random_tree_4 212565.150729 36110259
&& size_30000/random_tree_5 209095.939353 36469773
&& size_4000/random_tree_1 35820.957915 614309
&& size_4000/random_tree_10 56946.694880 649961
&& size_4000/random_tree_2 39253.977903 610574
&& size_4000/random_tree_3 30207.055307 572879
&& size_4000/random_tree_4 36055.733348 628797
&& size_4000/random_tree_5 34496.902552 588854
&& size_4000/random_tree_6 38608.740118 604519
&& size_4000/random_tree_7 26601.032626 610333
&& size_4000/random_tree_8 34701.959269 610173
&& size_4000/random_tree_9 35163.355124 589475
&& size_50000/random_tree_1 248557.173501 107407707
